JobTypeCode,Category
EX,Visit
VK,Visit
CW,Call
VA,Visit
VH,Visit
T1,Visit
O7,Visit
O6,Visit
O5,Call
O4,Call
O3,Call
HL,Call
IU,Visit
TT,Visit
V9,Visit
OP,Visit
OR,Visit
AP,Call
T2,Visit
T3,Visit
TA,Visit
WM,Call
SA,Call
PW,Call
WK,Call
VM,Visit
FO,Visit
CA,Visit
LC,Visit
T5,Visit
AW,Call
EM,visit
AM,Visit
CZ,Visit
NC,Visit
AD,Visit
PT,Visit
RC,Visit
LI,Call
RU,Visit
CM,visit
MV,Not Defined
VS,visit
ED,Visit
AT,Call
SC,Visit
MI,Not Defined
PH,Not Defined
SI,Not Defined
T4,Visit
T7,Visit
T6,Visit
ET,Not Defined
NJ,Call
TR,Visit
ME,Not Defined
VD,Visit
MP,Call
IH,Visit
TO,SMS
T9,SMS
TE,Call
VF,Visit
H1,Not Defined
F0,Not Defined
O9,Visit
OL,Visit
RM,Visit
99,Not Defined
ES,Not Defined
PG,Visit
LU,Not Defined
VR,Visit
LS,Visit
AC,Not Defined
VP,Not Defined
MG,Not Defined
V6,Visit
OA,Visit
EXP,Not Defined
O2,SMS
O1,SMS
